text	is_joke	clean_text	lemmas
"На мой взгляд, правильно ""рукожоп"", так как концепция: руки растут из жопы, соответственно получаем - ""рукожоп""."	0	на мой взгляд правильно рукожоп так как концепция руки растут из жопы соответственно получаем рукожоп	взгляд правильно рукожоп концепция рука расти жопы соответственно получать рукожоп
Как невидимка, вообще нигде не видно его, тише воды, ниже травы.	0	как невидимка вообще нигде не видно его тише воды ниже травы	невидимка вообще нигде видно тихий вода низкий трава
успех обманывает глупцы кажутся мудрыми	0	успех обманывает глупцы кажутся мудрыми	успех обманывать глупцы казаться мудрый
"Отрезала гордость. ?попробуй...? ? шепнула мечта. ""это чё, ******, такое!!!"" - прокричал анус 5 минут позже."	0	отрезала гордость попробуй шепнула мечта это чё такое прокричал анус минут позже	отрезать гордость попробуй шепнула мечта это что такой прокричать анус минута поздний
Капитализация компании снизилась до 413 миллиардов долларов.	0	капитализация компании снизилась до миллиардов долларов	капитализация компания снизиться миллиард доллар
Перед выборами - нет, а вот после победы Владимира Владимировича можно будет объявить амнистию.	0	перед выборами нет а вот после победы владимира владимировича можно будет объявить амнистию	выбор победа владимир владимирович объявить амнистия
Мы пили и смотрели, как земля за кормой погружается в море.	0	мы пили и смотрели как земля за кормой погружается в море	пить смотреть земля корма погружаться море
Под нами море! Совсем близко, футов пятьсот.	0	под нами море совсем близко футов пятьсот	нами море близко фут пятьсот
А вам не приходилось изучать труды Владимира Ильича Ленина?	0	а вам не приходилось изучать труды владимира ильича ленина	приходиться изучать труд владимир ильич ленин
Компаратор + триггер вполне достаточно, вместо выключателей с фиксацией - выключатели без фиксации т.е. кнопки.	0	компаратор триггер вполне достаточно вместо выключателей с фиксацией выключатели без фиксации те кнопки	компаратор триггер вполне достаточный вместо выключатель фиксация выключатели фиксация тот кнопка
Упав, береза, тем самым сказала девушке, постой чуть, дальше может быть еще хуже! карма млин...	0	упав береза тем самым сказала девушке постой чуть дальше может быть еще хуже карма млин	упасть береза самым сказать девушка постой далёкий плохой карма млин
Во-первых:напиши в теме, какие телефоны продаёшь во-вторых:за айфон предложу 10к.	0	вопервыхнапиши в теме какие телефоны продаёшь вовторыхза айфон предложу к	вопервыхнапиши тема какой телефон продаёшь вовторыхза айфон предложу
Только ведь она опять же на наш счет - за счет наших же отчислений в страховую!!!! пусть она будет за счет врача и больницы!!!!	0	только ведь она опять же на наш счет за счет наших же отчислений в страховую пусть она будет за счет врача и больницы	наш счёт счёт наш отчисление страховой пусть счёт врач больница
Ночь прошла спокойно, пираты не осмелились напасть на поселенцев.	0	ночь прошла спокойно пираты не осмелились напасть на поселенцев	ночь пройти спокойно пират осмелиться напасть поселенец
Уездный лекарь Однажды осенью, на возвратном пути с отъезжего поля, я простудился и занемог.	0	уездный лекарь однажды осенью на возвратном пути с отъезжего поля я простудился и занемог	уездный лекарь однажды осень возвратном путь отъезжего поле простудиться занемог
Через небольшой промежуток времени эту новость также стремительно убрали...	0	через небольшой промежуток времени эту новость также стремительно убрали	небольшой промежуток время новость также стремительно убрать
Который вы предпочитаете? Ярость, исказившая его лицо, и угрожающе поднятый кулак заставили гостей вскочить на ноги и поспешно обратиться в бегство.	0	который вы предпочитаете ярость исказившая его лицо и угрожающе поднятый кулак заставили гостей вскочить на ноги и поспешно обратиться в бегство	который предпочитать ярость исказить лицо угрожающе поднятый кулак заставить гость вскочить нога поспешно обратиться бегство
Росгвардия уточнила обстоятельства ЧП в башкирской школе	0	росгвардия уточнила обстоятельства чп в башкирской школе	росгвардия уточнить обстоятельство чп башкирский школа
И нацисты политруков расстреливали без всяких разговоров. политрук?	0	и нацисты политруков расстреливали без всяких разговоров политрук	нацист политрук расстреливать всякий разговор политрук
"Вот ест банан и говорит: ""А банан как называется?"" На что я придумываю разные эпитеты: ""Банан желтый"" иногда психану: ""Банан он и в Африке банан""."	0	вот ест банан и говорит а банан как называется на что я придумываю разные эпитеты банан желтый иногда психану банан он и в африке банан	есть банан говорить банан называться придумывать разный эпитет банан жёлтый психану банан африка банан
Суда эти укрылись в Портлендской гавани, что было признаком надвигавшейся непогоды и опасности, угрожавшей в открытом море.	0	суда эти укрылись в портлендской гавани что было признаком надвигавшейся непогоды и опасности угрожавшей в открытом море	суд укрыться портлендской гавань признак надвигавшейся непогода опасность угрожать открытом море
Интересен принцип отбора кандидатов - по делам? по святости?	0	интересен принцип отбора кандидатов по делам по святости	интересный принцип отбор кандидат дело святость
Они строят, но нам зарплаты платят маленькие. я сам там работаю.	0	они строят но нам зарплаты платят маленькие я сам там работаю	строить нам зарплата платить маленький работать
А вот опять же вопрос? зачем забили? там человек был сильно болен и нуждался не только в постоянно уходе сиделки но и присмотре врачей... ну да не суть...	0	а вот опять же вопрос зачем забили там человек был сильно болен и нуждался не только в постоянно уходе сиделки но и присмотре врачей ну да не суть	вопрос забить человек сильно больной нуждаться постоянно уход сиделка присмотр врач суть
А про межгалактический шахматный турнир там ничего не сказано?	0	а про межгалактический шахматный турнир там ничего не сказано	межгалактический шахматный турнир сказать
Чисто просто интересно.... или ссылки на оригиналы где стырено.	0	чисто просто интересно или ссылки на оригиналы где стырено	чисто просто интересный ссылка оригинал стырить
А этопостоянно так, я вчера часа полтора в ванную уходил, пока не сделал над собой волевое усилие - не ушел	0	а этопостоянно так я вчера часа полтора в ванную уходил пока не сделал над собой волевое усилие не ушел	этопостоянно вчера час полтора ванная уходить пока сделать себя волевой усилие уйти
Сказать вы пля в праграмме розыгрыш тока пельш не пришол	0	сказать вы пля в праграмме розыгрыш тока пельш не пришол	сказать пля праграмме розыгрыш ток пельш пришол
Пофоткать я сама хотела, только поздно вчера вечером шла - темно уже было)	0	пофоткать я сама хотела только поздно вчера вечером шла темно уже было	пофоткать сама хотеть поздно вчера вечер идти темно
Скорпион: ---------------------------------------------------------------------------- Ну прям про меня! ... ... Надо такие гороскопы по радио и телеыидению передавать..	0	скорпион ну прям про меня надо такие гороскопы по радио и телеыидению передавать	скорпион прям такой гороскоп радио телеыидению передавать
- а вы в молодости места пожилым в транспорте уступали? - уступала, сынок...	0	а вы в молодости места пожилым в транспорте уступали уступала сынок	молодость место пожилой транспорте уступать уступать сынок
Позвоните, если что. С утра у меня занятия, Потом будет часа два-три, постараюмь помочь.	0	позвоните если что с утра у меня занятия потом будет часа дватри постараюмь помочь	позвонить утро занятие час дватри постараюмь помочь
Слишком много чести для мухосранска с числом жителей менее 20 тыс. чел.	0	слишком много чести для мухосранска с числом жителей менее тыс чел	слишком честь мухосранска число житель менее тыс чел
"Это я говорю, как отец четвероклассника. Есть либо Основы православия Основы мировых религи ( ну чо то в это роде ,точно не помню) Основы светской этики. Большинство записываются именно на ""Основы светской этики""."	0	это я говорю как отец четвероклассника есть либо основы православия основы мировых религи ну чо то в это роде точно не помню основы светской этики большинство записываются именно на основы светской этики	это говорить отец четвероклассник либо основа православие основа мировой религи чо это род точно помнить основа светский этика большинство записываться именно основа светский этика
Напротив арки, через которую вошел Гуинплен, круглился в конце зала проем такой же арки, занавешенный от потолка до полу серебристой тканью.	0	напротив арки через которую вошел гуинплен круглился в конце зала проем такой же арки занавешенный от потолка до полу серебристой тканью	напротив арка которую войти гуинплен круглиться конец зал проём арка занавешенный потолок пол серебристый ткань
Ожидала большего. кошмарный фильм. ужас просто. не советую на него ходить.	0	ожидала большего кошмарный фильм ужас просто не советую на него ходить	ожидать больший кошмарный фильм ужас просто советую ходить
Что бы получить гражданство России , надо отказаться от гражданства страны проживания . Ни один европеец в здравом уме не поменяет гражданство на Российское .	0	что бы получить гражданство россии надо отказаться от гражданства страны проживания ни один европеец в здравом уме не поменяет гражданство на российское	получить гражданство россия отказаться гражданство страна проживание европеец здравый ум поменяет гражданство российский
Подскажите а в парке маяковского уже работают атракционы?	0	подскажите а в парке маяковского уже работают атракционы	подсказать парк маяковского работать атракционы
А товарищ не только не владеет идишем, но и в кулинарии полный профан...	0	а товарищ не только не владеет идишем но и в кулинарии полный профан	товарищ владеть идишем кулинария полный профан
А разве большинство мужчин не считает собственностью свою женщину.?!	0	а разве большинство мужчин не считает собственностью свою женщину	большинство мужчина считать собственность женщина
"Приехала с ""очередного"" празднования Нового старого года."	0	приехала с очередного празднования нового старого года	приехать очередной празднование новый старый год
- да, жидовская морда! - скажите, а где мне получить свою долю?	0	да жидовская морда скажите а где мне получить свою долю	жидовский морда скажите получить доля
А когда Танец маленьких лебедей зазвучал, мы честно его исполнили.	0	а когда танец маленьких лебедей зазвучал мы честно его исполнили	танец маленький лебедей зазвучать честно исполнить
Ну это и так понятно, а вообще чем то еще кроме вредных привычек нельзя заниматься ?	0	ну это и так понятно а вообще чем то еще кроме вредных привычек нельзя заниматься	это понятный вообще кроме вредный привычка заниматься
Они еще молоды. - Она наклонила голову и прибавила шопотом: - исполнил ли он последний долг, князь? Как драгоценны эти последние минуты!	0	они еще молоды она наклонила голову и прибавила шопотом исполнил ли он последний долг князь как драгоценны эти последние минуты	молоды наклонить голова прибавить шопотом исполнить последний долг князь драгоценный последний минута
Спасибо за эту новость. Я люблю классическую музыку, но, стыдно признаться, так и не знал где и кто у нас ее хорошо исполняет.	0	спасибо за эту новость я люблю классическую музыку но стыдно признаться так и не знал где и кто у нас ее хорошо исполняет	спасибо новость любить классический музыка стыдно признаться знать исполнять
В зоне ЧАЭС поймали группу сталкеров	0	в зоне чаэс поймали группу сталкеров	зона чаэс поймать группа сталкер
)))))))))))))))))))) вы думаете, что мне стало всё равно последние несколько месяцев? вы глубоко заблуждаетесь.	0	вы думаете что мне стало всё равно последние несколько месяцев вы глубоко заблуждаетесь	думать стать всё равный последний несколько месяц глубоко заблуждаетесь
Ему захотелось снова услышать ее голос, и он попросил: - Будьте так любезны, леди, продолжайте, расскажите о ваших приключениях.	0	ему захотелось снова услышать ее голос и он попросил будьте так любезны леди продолжайте расскажите о ваших приключениях	захотеться снова услышать голос попросить быть любезны леди продолжать рассказать ваш приключение
Шутю я по мужьям еще понятно можно скучать, правда я радуюсь - кучу дел успеваю переделать. но как скучать по любовнику, который в командировке - не один ли фиг в командировке он или у жены.	0	шутю я по мужьям еще понятно можно скучать правда я радуюсь кучу дел успеваю переделать но как скучать по любовнику который в командировке не один ли фиг в командировке он или у жены	шутю муж понятный скучать правда радоваться куча дело успевать переделать скучать любовнику который командировка фиг командировке жена
75 лет и выглядеть на 40-45 ... мое почтение мэм!! и долгих лет вам жизни!!	0	лет и выглядеть на мое почтение мэм и долгих лет вам жизни	год выглядеть мой почтение мэм долгий год жизнь
Юджин хихикнул и снизу вверх посмотрел на худую маску из слоновой кости.	0	юджин хихикнул и снизу вверх посмотрел на худую маску из слоновой кости	юджин хихикнуть снизу вверх посмотреть худой маска слоновый кость
"Ценники ""сыр голландский удмурдский"" ""сыр голландский татарский"" ""сыр российский украинский"""	0	ценники сыр голландский удмурдский сыр голландский татарский сыр российский украинский	ценник сыр голландский удмурдский сыр голландский татарский сыр российский украинский
Я не очень харашо помню што гаварил Барт но помню што он хотел штобы я сказал што было в чирнилах.	0	я не очень харашо помню што гаварил барт но помню што он хотел штобы я сказал што было в чирнилах	очень харашо помнить што гаварил барт помнить што хотеть штобы сказать што чирнилах
Я думаю этот парк не будет пользоваться большим спросом.	0	я думаю этот парк не будет пользоваться большим спросом	думать парк пользоваться больший спрос
"Семь банок ""ловенбрау""... пора в общество анонимных алкоголиков...."	0	семь банок ловенбрау пора в общество анонимных алкоголиков	семь банка ловенбрау пора общество анонимный алкоголик
Сработал инстинкт русской бабы.. если коня нет то хоть в горящую избу зайти..	0	сработал инстинкт русской бабы если коня нет то хоть в горящую избу зайти	сработать инстинкт русский баба конь гореть изба зайти
Марфы Тимофеевны и Лизаветы Михайловны не было дома.	0	марфы тимофеевны и лизаветы михайловны не было дома	марфы тимофеевны лизаветы михайловны дома
Зачем вам автомобиль подержанный и кредит в таких условиях?	0	зачем вам автомобиль подержанный и кредит в таких условиях	автомобиль подержанный кредит такой условие
"Так, что ""мони"" не ""мони"" , заниматься за деньги или даже бесплатно идут те, у кого в этом потребность есть и какой ни какой доход."	0	так что мони не мони заниматься за деньги или даже бесплатно идут те у кого в этом потребность есть и какой ни какой доход	мони мони заниматься деньга бесплатно идти тот кто потребность доход
Достали уже с этим содержание алкоголя в крови еще не значит алкогольное опьянение.	0	достали уже с этим содержание алкоголя в крови еще не значит алкогольное опьянение	достать это содержание алкоголь кровь значить алкогольный опьянение
Ога, ещё почту и телеграф захватите и пусть вольфыч с броневика выступит!	0	ога ещё почту и телеграф захватите и пусть вольфыч с броневика выступит	ога ещё почту телеграф захватить пусть вольфыч броневик выступить
Для концерта аллы пугачёвой не помеха... все бабульки соберуться потому что им делать днём нечего.	0	для концерта аллы пугачёвой не помеха все бабульки соберуться потому что им делать днём нечего	концерт алла пугачёвой помеха бабулька соберуться делать днём нечего
Когда тебя держат за дурака), в этом тоже есть свои плюсы)	0	когда тебя держат за дурака в этом тоже есть свои плюсы	держать дурак свой плюс
Этого не знает никто Правительство закон приняло, а реализацию никто не думал, как всегда.	0	этого не знает никто правительство закон приняло а реализацию никто не думал как всегда	знать никто правительство закон принять реализация никто думать
Ппц, я вот все думаю (ха-ха-ха, блондинка думает), почему тупые шутки в основном касаются умных (евреев), богатых (евреев и американцев), красивых (блондинок) и властьимущих (гайцы, чиновники, евреи, американцы)...это такая форма зависти или сублимации?	0	ппц я вот все думаю хахаха блондинка думает почему тупые шутки в основном касаются умных евреев богатых евреев и американцев красивых блондинок и властьимущих гайцы чиновники евреи американцыэто такая форма зависти или сублимации	ппц думать хахаха блондинка думать почему тупой шутка основном касаться умный еврей богатый еврей американец красивый блондинка властьимущих гайцы чиновник евреи американцыэто такой форма зависть сублимация
Путин просто обязан предоставить Гарри Маккинону политическое убежище и снабдить его всем необходимым.	0	путин просто обязан предоставить гарри маккинону политическое убежище и снабдить его всем необходимым	путин просто обязанный предоставить гарри маккинону политический убежище снабдить весь необходимый
Дуров сделал заявление после начала блокировки Telegram	0	дуров сделал заявление после начала блокировки telegram	дуров сделать заявление начало блокировка telegram
Ну, массажик легкий, плавно переходящий в эротический...	0	ну массажик легкий плавно переходящий в эротический	массажик лёгкий плавно переходить эротический
Путин на вазе когда был интересовался калиной... -а это у вас что ?	0	путин на вазе когда был интересовался калиной а это у вас что	путин вазе интересоваться калиной это
А Вы собственно хто? В приличном обществе принято представляться.......	0	а вы собственно хто в приличном обществе принято представляться	собственно хто приличный общество принять представляться
У вас уже и родительский комитет сформировался? Хм. Нас еще даже по классам не разбили.... Вчера было собрание, никаких пожертвований, ремонтов и тыпы нам не озвучивали.	0	у вас уже и родительский комитет сформировался хм нас еще даже по классам не разбили вчера было собрание никаких пожертвований ремонтов и тыпы нам не озвучивали	родительский комитет сформироваться хм класс разбить вчера собрание никакой пожертвование ремонт тыпы нам озвучивать
Там у мужчин спрашивали чего им не нравится в сексе, а если у вас спросить? МИлые дамы, что вам не нравится или не устраивает в сексе? (не с конкретным мужчиной, а вообще, оглянувшись на всю свою жисть...	0	там у мужчин спрашивали чего им не нравится в сексе а если у вас спросить милые дамы что вам не нравится или не устраивает в сексе не с конкретным мужчиной а вообще оглянувшись на всю свою жисть	мужчина спрашивать нравиться сексе спросить милый дама нравиться устраивать секс конкретный мужчина вообще оглянувшись жисть
А кто песни орал, а? мне и дома кошачьих песен хватает...)	0	а кто песни орал а мне и дома кошачьих песен хватает	песня орать дом кошачий песня хватать
"Приглашаем всех желающих на награждение победительниц конкурса ""Мисс Сушиба""."	0	приглашаем всех желающих на награждение победительниц конкурса мисс сушиба	приглашать желать награждение победительница конкурс мисс сушиба
Вернувшись домой, он внимательно осмотрел вешалку и, заметив, что военного пальто не было, по обыкновению, прошел к себе.	0	вернувшись домой он внимательно осмотрел вешалку и заметив что военного пальто не было по обыкновению прошел к себе	вернуться домой внимательно осмотреть вешалка заметить военный пальто обыкновение пройти
Прожили три года вместе, он старше меня. любим друг друга...	0	прожили три года вместе он старше меня любим друг друга	прожить год вместе старший любить друг друга
Почему сразу мужик!я очень даже красивая и интересная пожилая дама!!!	0	почему сразу мужикя очень даже красивая и интересная пожилая дама	почему сразу мужикя очень красивый интересный пожилой дама
Это был человек лет пятидесяти, росту повыше среднего, дородный, с широкими и крутыми плечами, что придавало ему несколько сутуловатый вид.	0	это был человек лет пятидесяти росту повыше среднего дородный с широкими и крутыми плечами что придавало ему несколько сутуловатый вид	это человек год пятидесяти рост высоко средний дородный широкий крутой плечо придавать несколько сутуловатый вид
"А вы интерферон сразу используете, как только ""полилось из носа""?"	0	а вы интерферон сразу используете как только полилось из носа	интерферон сразу использовать политься носа
В институте кадаврами иногда иронически называют неудавшихся дублей и дублеподобных сотрудников.	0	в институте кадаврами иногда иронически называют неудавшихся дублей и дублеподобных сотрудников	институт кадавр иронически называть неудавшихся дублей дублеподобных сотрудник
